Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
7/22/2022,REDACTED,54.05,REDACTED,CHEVRON               CA,123 REDACTED ST,"SAN RAMON
CA",90001,UNITED STATES,REDACTED,Transportation-Fuel
7/21/2022,REDACTED,34.86,REDACTED,AplPay CHIPOTLE ONLINEWPORT BEACH       CA,1401 WYNKOOP ST,"DENVER
CO",80202,UNITED STATES,REDACTED,Restaurant-Bar & Café
7/20/2022,REDACTED,16.93,REDACTED,AMZN MKTP US AMZN.COM/BILL       WA,410 TERRY AVE N,"SEATTLE
WA",90001,UNITED STATES,REDACTED,Merchandise & Supplies-Internet Purchase
7/20/2022,REDACTED,6.25,REDACTED,STARBUCKS STORE 9999              CA,123 REDACTED ST,REDACTED,90001,UNITED STATES,REDACTED,Restaurant-Bar & Café
7/6/2022,REDACTED,8.99,REDACTED,ABERCROMBIE & FITCH NEW ALBANY          OH,6301 FITCH PATH,"NEW ALBANY
OH",43054,UNITED STATES,REDACTED,Merchandise & Supplies-Internet Purchase
7/4/2022,REDACTED,3.98,REDACTED,STATER BROS                       CA,123 REDACTED ST,REDACTED,90001,UNITED STATES,REDACTED,Merchandise & Supplies-Groceries
7/1/2022,REDACTED,13.25,REDACTED,SUBWAY                           CA,123 REDACTED ST,REDACTED,90001,UNITED STATES,REDACTED,Restaurant-Bar & Café
6/28/2022,REDACTED,9.18,REDACTED,AplPay PANERA BREAD         CA,123 REDACTED ST,REDACTED,90001,UNITED STATES,REDACTED,Restaurant-Bar & Café
6/28/2022,REDACTED,23,REDACTED,CLEANERS          CA,123 REDACTED ST,REDACTED,90001,UNITED STATES,REDACTED,Business Services-Other Services
6/25/2022,REDACTED,50.5,REDACTED,SP ASPEN ESSENCE    NASHVILLE           TN,1516 DOUBLETREE LN,"NASHVILLE
TN",37217,UNITED STATES,REDACTED,Merchandise & Supplies-Department Stores
